,index,date,y
50088,2023-04-26_QD6,2023-04-26,286.8829345703125
50458,2023-04-27_QD6,2023-04-27,249.69827270507812
51006,2023-04-28_QD6,2023-04-28,235.9580535888672
51608,2023-04-29_QD6,2023-04-29,200.81080627441406
51922,2023-04-30_QD6,2023-04-30,-2.4339096546173096
52058,2023-05-01_QD6,2023-05-01,-26.875972747802734
52499,2023-05-02_QD6,2023-05-02,71.06584167480469
53148,2023-05-03_QD6,2023-05-03,115.51595306396484
53561,2023-05-04_QD6,2023-05-04,177.65834045410156
54115,2023-05-05_QD6,2023-05-05,155.20140075683594
54382,2023-05-06_QD6,2023-05-06,74.53804779052734
54962,2023-05-07_QD6,2023-05-07,9.955140113830566
55395,2023-05-08_QD6,2023-05-08,60.72945022583008
55679,2023-05-09_QD6,2023-05-09,81.46611022949219
55978,2023-05-10_QD6,2023-05-10,152.4256134033203
56436,2023-05-11_QD6,2023-05-11,211.8099822998047
57005,2023-05-12_QD6,2023-05-12,230.05987548828125
57492,2023-05-13_QD6,2023-05-13,202.1457977294922
57869,2023-05-14_QD6,2023-05-14,99.04875946044922
58293,2023-05-15_QD6,2023-05-15,212.70321655273438
58883,2023-05-16_QD6,2023-05-16,238.83322143554688
59291,2023-05-17_QD6,2023-05-17,282.6921081542969
59730,2023-05-18_QD6,2023-05-18,279.18511962890625
60190,2023-05-19_QD6,2023-05-19,298.20306396484375
60595,2023-05-20_QD6,2023-05-20,141.55889892578125
61053,2023-05-21_QD6,2023-05-21,83.864990234375
61486,2023-05-22_QD6,2023-05-22,250.21649169921875
62039,2023-05-23_QD6,2023-05-23,311.9009704589844
62412,2023-05-24_QD6,2023-05-24,260.981689453125
62791,2023-05-25_QD6,2023-05-25,302.70513916015625
63240,2023-05-26_QD6,2023-05-26,311.8775939941406
63628,2023-05-27_QD6,2023-05-27,202.38482666015625
64100,2023-05-28_QD6,2023-05-28,100.60884094238281
64244,2023-05-29_QD6,2023-05-29,261.0208740234375
64978,2023-05-30_QD6,2023-05-30,265.2140808105469
65531,2023-05-31_QD6,2023-05-31,261.37017822265625
65648,2023-06-01_QD6,2023-06-01,280.65789794921875
66417,2023-06-02_QD6,2023-06-02,315.1463928222656
66857,2023-06-03_QD6,2023-06-03,219.66400146484375
67070,2023-06-04_QD6,2023-06-04,76.22942352294922
67294,2023-06-05_QD6,2023-06-05,238.35504150390625
67875,2023-06-06_QD6,2023-06-06,288.4209289550781
68439,2023-06-07_QD6,2023-06-07,332.3572082519531
68970,2023-06-08_QD6,2023-06-08,300.0521545410156
69373,2023-06-09_QD6,2023-06-09,317.7857666015625
69586,2023-06-10_QD6,2023-06-10,166.0979461669922
70122,2023-06-11_QD6,2023-06-11,111.47596740722656
70765,2023-06-12_QD6,2023-06-12,261.0208740234375
